country_code,country_name,bank_code,swift_bic,bank_name,iban_length
AE,United Arab Emirates,038,NBFUAEAFXXX,National Bank Of Fujairah,23
AE,United Arab Emirates,040,NRAKAEAKXXX,National Bank of Ras Al,23
AE,United Arab Emirates,041,NBSHAEASXXX,Sharjah Islamic Bank,23
AE,United Arab Emirates,042,UMMQAEADXXX,National Bank Of Umm Al Qaiwain,23
AE,United Arab Emirates,043,ICBKAEAAXXX,Industrial and Commercial Bank of China,23
AE,United Arab Emirates,044,SCBLAEADXXX,Standard Chartered Bank,23
AE,United Arab Emirates,045,UNBEAEAAXXX,Union National Bank,23
AE,United Arab Emirates,046,UARBAEAAXXX,United Arab Bank,23
AE,United Arab Emirates,047,UNILAEADXXX,United Bank Ltd,23
AE,United Arab Emirates,049,DEUTAEAAXXX,Deutsche Bank,23
AE,United Arab Emirates,050,ABDIAEADXXX,Abu Dhabi Islamic Bank,23
AE,United Arab Emirates,051,DBXPAEADXXX,Dubai Bank,23
AE,United Arab Emirates,052,NISLAEADXXX,Noor Islamic Bank,23
AE,United Arab Emirates,053,HLALAEAAXXX,Al Hilal Bank,23
AE,United Arab Emirates,055,SAMBAEADXXX,SAMBA Financial Group,23
AE,United Arab Emirates,057,AJMNAEAJXXX,Ajman Bank,23
AE,United Arab Emirates,092,GULFAEAAXXX,GULF INTERNATIONAL BANK,23
AE,United Arab Emirates,093,BCITAEABXXX,INTESA SANPAOLO,23
AE,United Arab Emirates,113,SRAJAEAAXXX,SIRAJ FINANCE PJSC,23
AE,United Arab Emirates,206,ALANAEAAXXX,Al Ansari Exchange,23
AE,United Arab Emirates,215,FEXEAEAAXXX,Al Fardan Exchange,23
AE,United Arab Emirates,216,ALFXAEADXXX,Al Fuad Exchange,23
AE,United Arab Emirates,252,EIIEAEADXXX,Emirates India International Exchange,23
AE,United Arab Emirates,267,LAEEAEAAXXX,Lari Exchange,23
AE,United Arab Emirates,291,UAEXAEAAXXX,UAE Exchange Center LLC,23
AE,United Arab Emirates,293,UECEAEADXXX,Universal Exchange Centre,23
AE,United Arab Emirates,294,WSEEAEADXXX,Wall Street Exchange Centre LLC,23
AT,Austria,00100,NABAATWWXXX,Oesterreichische Nationalbank,20
AT,Austria,01000,BUNDATWWXXX,Republik Österreich,20
AT,Austria,10000,OEKOATWWXXX,Oesterreichische Kontrollbank Aktiengesellschaft,20
AT,Austria,11000,BKAUATWWXXX,UniCredit Bank Austria AG,20
AT,Austria,12000,BKAUATWWXXX,UniCredit Bank Austria AG,20
AT,Austria,12002,BKAUATWWXXX,UniCredit Bank Austria AG,20
AT,Austria,12004,BKAUATWWXXX,UniCredit Bank Austria AG,20
AT,Austria,12005,BKAUATWWXXX,UniCredit Bank Austria AG,20
AT,Austria,14000,BAWAATWWXXX,BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft,20
AT,Austria,14001,BAWAATWWXXX,BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft,20
AT,Austria,14002,BAWAATWWXXX,BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft,20
AT,Austria,14200,BAWAATWWXXX,BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft,20
AT,Austria,14210,BAWAATWWXXX,BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft,20
AT,Austria,14900,BAWAATWWXXX,BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft,20
AT,Austria,15000,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15001,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15002,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15003,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15004,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15005,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15006,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15007,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15008,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15009,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15010,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15011,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15012,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15013,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15021,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15022,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15023,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15024,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15025,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15030,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15031,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15040,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15041,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15042,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15060,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15061,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15062,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15080,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15081,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15090,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15091,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15092,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15093,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15094,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15095,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15096,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15097,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15110,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15120,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15121,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15122,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15123,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15130,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15131,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15132,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15133,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15134,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15135,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15150,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15151,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,15899,OBKLAT2LXXX,Oberbank AG,20
AT,Austria,16000,BTVAAT22XXX,BTV Vier Länder Bank AG,20
AT,Austria,16300,BTVAAT22XXX,BTV Vier Länder Bank AG,20
AT,Austria,16310,BTVAAT22XXX,BTV Vier Länder Bank AG,20
AT,Austria,16320,BTVAAT22XXX,BTV Vier Länder Bank AG,20
AT,Austria,16330,BTVAAT22XXX,BTV Vier Länder Bank AG,20
AT,Austria,16340,BTVAAT22XXX,BTV Vier Länder Bank AG,20
AT,Austria,16350,BTVAAT22XXX,BTV Vier Länder Bank AG,20
AT,Austria,16360,BTVAAT22XXX,BTV Vier Länder Bank AG,20
AT,Austria,16370,BTVAAT22XXX,BTV Vier Länder Bank AG,20
AT,Austria,16380,BTVAAT22XXX,BTV Vier Länder Bank AG,20
AT,Austria,16390,BTVAAT22XXX,BTV Vier Länder Bank AG,20
AT,Austria,16400,BTVAAT22XXX,BTV Vier Länder Bank AG,20
AT,Austria,16410,BTVAAT22XXX,BTV Vier Länder Bank AG,20
AT,Austria,16420,BTVAAT22XXX,BTV Vier Länder Bank AG,20
AT,Austria,16430,BTVAAT22XXX,BTV Vier Länder Bank AG,20
AT,Austria,16440,BTVAAT22XXX,BTV Vier Länder Bank AG,20
AT,Austria,16450,BTVAAT22XXX,BTV Vier Länder Bank AG,20
AT,Austria,16460,BTVAAT22XXX,BTV Vier Länder Bank AG,20
AT,Austria,17000,BFKKAT2KXXX,BKS Bank AG,20
AT,Austria,17100,BFKKAT2KXXX,BKS Bank AG,20
AT,Austria,17200,BFKKAT2KXXX,BKS Bank AG,20
AT,Austria,17300,BFKKAT2KXXX,BKS Bank AG,20
AT,Austria,17400,BFKKAT2KXXX,BKS Bank AG,20
AT,Austria,17500,BFKKAT2KXXX,BKS Bank AG,20
AT,Austria,17899,BFKKAT2KXXX,BKS Bank AG,20
AT,Austria,18100,GEBAATWWXXX,BNP Paribas SA Niederlassung Österreich,20
AT,Austria,18120,PABXATW1XXX,A1 Bank AG,20
AT,Austria,18130,BWFBATW1XXX,Österreichische Ärzte- und Apothekerbank AG,20
AT,Austria,18140,CITIATWXXXX,"Citibank Europe plc, Austria Branch",20
AT,Austria,18150,SGABATWWXXX,Société Générale Zweigniederlassung Wien,20
AT,Austria,18160,VBOEATWWXXX,VOLKSBANK WIEN AG,20
AT,Austria,18170,,KA Finanz AG i.A.,20
AT,Austria,18190,BAWAATWWXXX,BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft,20
AT,Austria,18400,BGENATWWXXX,Generali Bank AG,20
AT,Austria,18600,VKBLAT2LXXX,Volkskreditbank AG,20
AT,Austria,19001,TRBKATW2XXX,"Trade Republic Bank GmbH, Branch Austria",20
AT,Austria,19100,DEUTATWWXXX,Deutsche Bank Aktiengesellschaft Filiale Wien,20
AT,Austria,19120,SPBAATWWXXX,bank99 AG,20
AT,Austria,19140,GUTBATWWXXX,Bank Gutmann Aktiengesellschaft,20
AT,Austria,19150,KTBKATWWXXX,Kathrein Privatbank Aktiengesellschaft,20
AT,Austria,19160,WIPBATWWXXX,Wiener Privatbank SE,20
AT,Austria,19170,PABAAT2LXXX,PARTNER BANK AKTIENGESELLSCHAFT,20
AT,Austria,19190,BSSWATWWXXX,Schelhammer Capital Bank AG,20
AT,Austria,19200,SCHOATWWXXX,Schoellerbank Aktiengesellschaft,20
AT,Austria,19210,SPBAATWWB99,bank99 AG,20
AT,Austria,19220,WISMATWWXXX,Bank Winter & Co. AG,20
AT,Austria,19250,DIRAAT2SXXX,BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft,20
AT,Austria,19360,INGBATWWXXX,ING Austria Branch of ING Bank N.V.,20
AT,Austria,19380,DENEATW1XXX,Bankhaus Denzel Aktiengesellschaft,20
AT,Austria,19390,BMASAT21XXX,BMW Austria Bank GmbH,20
AT,Austria,19420,RCNOATW1XXX,"RCI Banque SA, Niederlassung Österreich",20
AT,Austria,19440,WIPBATWWXXX,Wiener Privatbank SE,20
AT,Austria,19450,COPRATWWXXX,Liechtensteinische Landesbank (Österreich) AG,20
AT,Austria,19460,BLFLATWWXXX,"LGT Bank AG, Zweigniederlassung Österreich",20
AT,Austria,19480,BIIWATWWXXX,flatexDEGIRO Bank AG,20
AT,Austria,19510,COPRATWWXXX,Liechtensteinische Landesbank (Österreich) AG,20
AT,Austria,19515,OPBAATW2XXX,Stellantis Bank SA Niederlassung Österreich,20
AT,Austria,19520,STSPAT2GXXX,Steiermärkische Bank und Sparkassen Aktiengesellschaft,20
AT,Austria,19530,SPAEAT2SXXX,Bankhaus Carl Spängler & Co. Aktiengesellschaft,20
AT,Austria,19540,BKCHATWWXXX,Bank of China (Central and Eastern Europe) Limited Vienna Branch,20
AT,Austria,19600,BSSWATWWXXX,Schelhammer Capital Bank AG,20
AT,Austria,19650,ESBKATWWXXX,DenizBank AG,20
AT,Austria,19660,INVOATWWXXX,Kommunalkredit Austria AG,20
AT,Austria,19675,COBAATWXXXX,Commerzbank AG Niederlassung Wien,20
AT,Austria,19690,TVBAATWWXXX,VakifBank International AG,20
AT,Austria,19810,SANTATWWXXX,Santander Consumer Bank GmbH,20
AT,Austria,19825,WUSNATWWXXX,Wüstenrot Bank AG,20
AT,Austria,19880,WUIBATWWXXX,Western Union International Bank GmbH,20
AT,Austria,19888,ICBKATWWXXX,ICBC Austria Bank GmbH,20
AT,Austria,19930,CENBATWWXXX,Raiffeisen Digital Bank AG,20
AT,Austria,19931,CENBATWWRDB,Raiffeisen Digital Bank AG,20
AT,Austria,19950,WUBUAT2SXXX,Bausparkasse Wüstenrot Aktiengesellschaft,20
AT,Austria,19970,BRASATWWXXX,Banco do Brasil Aktiengesellschaft,20
AT,Austria,20100,GIBAATWGXXX,Erste Group Bank AG,20
AT,Austria,20111,GIBAATWWXXX,Erste Bank der oesterreichischen Sparkassen AG,20
AT,Austria,20112,GIBAAT21XXX,Die Zweite Wiener Vereins-Sparcasse,20
AT,Austria,20202,SPAMAT21XXX,Sparkasse der Stadt Amstetten AG,20
AT,Austria,20205,SPBDAT21XXX,Sparkasse Baden,20
AT,Austria,20216,SPHBAT21XXX,Sparkasse Hainburg-Bruck-Neusiedl Aktiengesellschaft,20
AT,Austria,20218,SPHAAT21XXX,Sparkasse Haugsdorf AG,20
AT,Austria,20219,SPHEAT21XXX,Sparkasse Herzogenburg-Neulengbach Bank Aktiengesellschaft,20
AT,Austria,20221,SPHNAT21XXX,Sparkasse Horn-Ravelsbach-Kirchberg Aktiengesellschaft,20
AT,Austria,20225,SPBDAT21XXX,Sparkasse Baden,20
AT,Austria,20227,SSKOAT21XXX,Sparkasse Korneuburg AG,20
AT,Austria,20228,SPKDAT21XXX,KREMSER BANK UND SPARKASSEN AKTIENGESELLSCHAFT,20
AT,Austria,20230,SPLSAT21XXX,Sparkasse Langenlois,20
AT,Austria,20241,SPNGAT21XXX,Sparkasse Neunkirchen,20
AT,Austria,20245,SPPOAT21XXX,Sparkasse Pottenstein N.Ö.,20
AT,Austria,20246,SPPDAT21XXX,Sparkasse Poysdorf AG,20
AT,Austria,20256,SPSPAT21XXX,SPARKASSE NIEDERÖSTERREICH MITTE WEST AKTIENGESELLSCHAFT,20
AT,Austria,20257,SPSBAT21XXX,Sparkasse Scheibbs AG,20
AT,Austria,20263,SPZWAT21XXX,Waldviertler Sparkasse Bank AG,20
AT,Austria,20267,WINSATWNXXX,Wiener Neustädter Sparkasse,20
AT,Austria,20272,SPZWAT21XXX,Waldviertler Sparkasse Bank AG,20
AT,Austria,20306,SPFRAT21XXX,SPARKASSE FRANKENMARKT AKTIENGESELLSCHAFT,20
AT,Austria,20314,SKBIAT21XXX,Sparkasse Salzkammergut AG,20
AT,Austria,20317,SPLAAT21XXX,Sparkasse Lambach Bank Aktiengesellschaft,20
AT,Austria,20320,ASPKAT2LXXX,Sparkasse Oberösterreich Bank AG,20
AT,Austria,20326,SPNKAT21XXX,Sparkasse Neuhofen Bank Aktiengesellschaft,20
AT,Austria,20330,SPPBAT21XXX,Sparkasse Eferding-Peuerbach-Waizenkirchen,20
AT,Austria,20331,SPPRAT21XXX,Sparkasse Pregarten - Unterweißenbach AG,20
AT,Austria,20333,SPRHAT21XXX,Sparkasse Ried im Innkreis-Haag am Hausruck,20
AT,Austria,20334,SMWRAT21XXX,Sparkasse Mühlviertel-West Bank Aktiengesellschaft,20
AT,Austria,20402,SPMIAT21XXX,Sparkasse Mittersill Bank AG,20
AT,Austria,20404,SBGSAT2SXXX,Erste Bank der oesterreichischen Sparkassen AG,20
AT,Austria,20502,SPIMAT21XXX,Sparkasse Imst AG,20
AT,Austria,20503,SPIHAT22XXX,Tiroler Sparkasse Bankaktiengesellschaft Innsbruck,20
AT,Austria,20505,SPKIAT2KXXX,Sparkasse der Stadt Kitzbühel,20
AT,Austria,20506,SPKUAT22XXX,Sparkasse Kufstein Tiroler Sparkasse von 1877,20
AT,Austria,20507,LISPAT21XXX,Lienzer Sparkasse AG,20
AT,Austria,20508,SPRTAT21XXX,Sparkasse Rattenberg Bank AG,20
AT,Austria,20509,SPREAT21XXX,Sparkasse Reutte AG,20
AT,Austria,20510,SPSCAT22XXX,Sparkasse Schwaz AG,20
AT,Austria,20601,SPBRAT2BXXX,Sparkasse Bregenz Bank Aktiengesellschaft,20
AT,Austria,20602,DOSPAT2DXXX,Dornbirner Sparkasse Bank AG,20
AT,Austria,20603,SPEGAT21XXX,Sparkasse der Gemeinde Egg,20
AT,Austria,20604,SPFKAT2BXXX,Sparkasse der Stadt Feldkirch,20
AT,Austria,20607,SSBLAT21XXX,Sparkasse Bludenz Bank AG,20
AT,Austria,20702,SPFNAT21XXX,Sparkasse Feldkirchen/Kärnten,20
AT,Austria,20706,KSPKAT2KXXX,Kärntner Sparkasse Aktiengesellschaft,20
AT,Austria,20815,STSPAT2GXXX,Steiermärkische Bank und Sparkassen Aktiengesellschaft,20
AT,Austria,20828,SPMZAT21XXX,Sparkasse Mürzzuschlag Aktiengesellschaft,20
AT,Austria,20833,SPPLAT21XXX,Sparkasse Pöllau AG,20
AT,Austria,20839,SPVOAT21XXX,Sparkasse Voitsberg-Köflach Bankaktiengesellschaft,20
AT,Austria,24012,BAOSATWWXXX,Bausparkasse der österreichischen Sparkassen Aktiengesellschaft,20
AT,Austria,30000,RZBAATWWXXX,Raiffeisen Bank International AG,20
AT,Austria,31000,RZBAATWWXXX,Raiffeisen Bank International AG,20
AT,Austria,31111,RZBAATWWVAM,Raiffeisen Bank International AG,20
AT,Austria,31112,RZBAATWWREC,Raiffeisen Bank International AG,20
AT,Austria,31303,RBSKATW1XXX,Raiffeisen Bausparkasse Gesellschaft m.b.H.,20
AT,Austria,31500,NTBAATWWXXX,NOTARTREUHANDBANK AG,20
AT,Austria,32000,RLNWATWWXXX,RAIFFEISENLANDESBANK NIEDERÖSTERREICH-WIEN AG,20
AT,Austria,32002,RLNWATW1002,Raiffeisenbank Wagram-Schmidatal eGen,20
AT,Austria,32025,RLNWATWWAMS,Raiffeisenbank Region Amstetten eGen,20
AT,Austria,32033,RLNWATWWAMS,Raiffeisenbank Region Amstetten eGen,20
AT,Austria,32039,RLNWATWWWDF,Raiffeisenbank Wolkersdorf - Auersthal eGen,20
AT,Austria,32045,RLNWATWWBAD,Raiffeisenbank Region Baden eGen,20
AT,Austria,32059,RLNWATW1059,Raiffeisenkasse Blindenmarkt eGen,20
AT,Austria,32073,RLNWATWWBRL,Raiffeisenbank Bruck-Carnuntum eGen,20
AT,Austria,32092,RLNWATWWGAE,Raiffeisen-Regionalbank Gänserndorf eGen,20
AT,Austria,32099,RLNWATW1099,Raiffeisenkasse Dobersberg-Waldkirchen eGen,20
AT,Austria,32118,RLNWATWWBAD,Raiffeisenbank Region Baden eGen,20
AT,Austria,32123,RLNWATWW123,Raiffeisenbank Eggenburg eGen,20
AT,Austria,32127,RLNWATWWWTH,Raiffeisenbank im Thayatal eGen,20
AT,Austria,32145,RLNWATW1145,Raiffeisenkasse Ernstbrunn eGen,20
AT,Austria,32195,RLNWATWWASP,Raiffeisenbank Region Wiener Alpen eGen,20
AT,Austria,32198,RLNWATW1322,Raiffeisenbank Hollabrunn eGen,20
AT,Austria,32227,RLNWATWWZDF,Raiffeisenbank Weinviertel Nordost eGen,20
AT,Austria,32242,RLNWATW1002,Raiffeisenbank Wagram-Schmidatal eGen,20
AT,Austria,32247,RLNWATWWBAD,Raiffeisenbank Region Baden eGen,20
AT,Austria,32250,RLNWATWWGTD,Raiffeisen Regionalbank Mödling eGen,20
AT,Austria,32275,RLNWATW1275,Raiffeisenbank Seefeld-Hadres eGen,20
AT,Austria,32278,RLNWATWW278,Raiffeisenkasse Haidershofen eGen,20
AT,Austria,32286,RLNWATW1286,Raiffeisenkasse Heiligeneich eGen,20
AT,Austria,32291,RLNWATW1002,Raiffeisenbank Wagram-Schmidatal eGen,20
AT,Austria,32322,RLNWATW1322,Raiffeisenbank Hollabrunn eGen,20
AT,Austria,32356,RLNWATWWOBG,Raiffeisenbank Region St. Pölten eGen,20
AT,Austria,32367,RLNWATW1880,Raiffeisenbank Tulln-Klosterneuburg eGen,20
AT,Austria,32368,RLNWATW1477,Raiffeisenbank Region Schallaburg eGen,20
AT,Austria,32374,RLNWATWWASP,Raiffeisenbank Region Wiener Alpen eGen,20
AT,Austria,32395,RLNWATWWKOR,Raiffeisenbank Korneuburg eGen,20
AT,Austria,32397,RLNWATWWKRE,Raiffeisenbank Krems eGen,20
AT,Austria,32413,RLNWATWWLAA,Raiffeisenbank Laa/Thaya eGen,20
AT,Austria,32414,RLNWATWWPRB,Raiffeisenbank Wienerwald eGen,20
AT,Austria,32415,RLNWATWWOWS,Raiffeisenbank Oberes Waldviertel eGen,20
AT,Austria,32426,RLNWATWW426,Raiffeisenbank Langenlois eGen,20
AT,Austria,32438,RLNWATW1438,Raiffeisenbank Kreuzenstein eGen,20
AT,Austria,32447,RLNWATWWLFD,Raiffeisenbank Traisen-Gölsental eGen,20
AT,Austria,32455,RLNWATW1477,Raiffeisenbank Region Schallaburg eGen,20
AT,Austria,32477,RLNWATW1477,Raiffeisenbank Region Schallaburg eGen,20
AT,Austria,32497,RLNWATW1880,Raiffeisenbank Tulln-Klosterneuburg eGen,20
AT,Austria,32501,RLNWATWWMIB,Raiffeisenbank im Weinviertel eGen,20
AT,Austria,32551,RLNWATWWNSD,Raiffeisenkasse Neusiedl a.d.Zaya eGen,20
AT,Austria,32585,RLNWATWWOBG,Raiffeisenbank Region St. Pölten eGen,20
AT,Austria,32589,RLNWATW1589,Raiffeisenbank Gross Gerungs eGen,20
AT,Austria,32614,RLNWATWWODO,Raiffeisenkasse Orth a.d. Donau eGen,20
AT,Austria,32615,RLNWATWWZWE,Raiffeisenbank Region Waldviertel Mitte eGen,20
AT,Austria,32631,RLNWATWWASP,Raiffeisenbank Region Wiener Alpen eGen,20
AT,Austria,32633,RLNWATWWGTD,Raiffeisen Regionalbank Mödling eGen,20
AT,Austria,32642,RLNWATWWWRN,Raiffeisenbank Wr. Neustadt-Schneebergland eGen,20
AT,Austria,32647,RLNWATWWASP,Raiffeisenbank Region Wiener Alpen eGen,20
AT,Austria,32651,RLNWATWW939,Raiffeisenbank Mittleres Mostviertel eGen,20
AT,Austria,32660,RLNWATWWASP,Raiffeisenbank Region Wiener Alpen eGen,20
AT,Austria,32663,RLNWATWWMIB,Raiffeisenbank im Weinviertel eGen,20
AT,Austria,32667,RLNWATWWPRB,Raiffeisenbank Wienerwald eGen,20
AT,Austria,32679,RLNWATW1477,Raiffeisenbank Region Schallaburg eGen,20
AT,Austria,32715,RLNWATW1715,Raiffeisenkasse Retz-Pulkautal eGen,20
AT,Austria,32731,RLNWATW1438,Raiffeisenbank Kreuzenstein eGen,20
AT,Austria,32769,RLNWATWWOBG,Raiffeisenbank Region St. Pölten eGen,20
AT,Austria,32778,RLNWATWWAMS,Raiffeisenbank Region Amstetten eGen,20
AT,Austria,32789,RLNWATWWAMS,Raiffeisenbank Region Amstetten eGen,20
AT,Austria,32823,RLNWATWW823,Raiffeisenbank Region Schwechat eGen,20
AT,Austria,32842,RLNWATWWSTO,Raiffeisenbank Stockerau eGen,20
AT,Austria,32865,RLNWATWWWRN,Raiffeisenbank Wr. Neustadt-Schneebergland eGen,20
AT,Austria,32880,RLNWATW1880,Raiffeisenbank Tulln-Klosterneuburg eGen,20
AT,Austria,32901,RLNWATW1901,Raiffeisenbank Vitis eGen,20
AT,Austria,32904,RLNWATWWWTH,Raiffeisenbank im Thayatal eGen,20
AT,Austria,32906,RLNWATWWWHY,Raiffeisenbank Ybbstal eGen,20
AT,Austria,32930,RLNWATWWBAD,Raiffeisenbank Region Baden eGen,20
AT,Austria,32936,RLNWATWWOWS,Raiffeisenbank Oberes Waldviertel eGen,20
AT,Austria,32937,RLNWATWWWRN,Raiffeisenbank Wr. Neustadt-Schneebergland eGen,20
AT,Austria,32939,RLNWATWW939,Raiffeisenbank Mittleres Mostviertel eGen,20
AT,Austria,32940,RLNWATWWWRN,Raiffeisenbank Wr. Neustadt-Schneebergland eGen,20
AT,Austria,32944,RLNWATWWLFD,Raiffeisenbank Traisen-Gölsental eGen,20
AT,Austria,32951,RLNWATWWWDF,Raiffeisenbank Wolkersdorf - Auersthal eGen,20
AT,Austria,32982,RLNWATW1322,Raiffeisenbank Hollabrunn eGen,20
AT,Austria,32985,RLNWATWWZDF,Raiffeisenbank Weinviertel Nordost eGen,20
AT,Austria,32990,RLNWATWWZWE,Raiffeisenbank Region Waldviertel Mitte eGen,20
AT,Austria,33000,RLBBAT2EXXX,Raiffeisenlandesbank Burgenland und Revisionsverband eGen,20
AT,Austria,33002,RLBBAT2E038,Raiffeisen Bezirksbank Neusiedl Ost eGen,20
AT,Austria,33004,RLBBAT2E038,Raiffeisen Bezirksbank Neusiedl Ost eGen,20
AT,Austria,33010,RLBBAT2E010,Raiffeisenbank Region Deutschkreutz-Horitschon eGen,20
AT,Austria,33012,RLBBAT2E012,Raiffeisenbank Neusiedlersee-Hügelland eGen,20
AT,Austria,33014,RLBBAT2E014,Raiffeisenbank Draßmarkt-Kobersdorf-St. Martin eGen,20
AT,Austria,33027,RLBBAT2E027,Raiffeisen Regionalbank Güssing-Jennersdorf eGen,20
